Symbol;Position;Type;Open time;Open price;Close time;Close price;Profit;Net profit
EURUSD;1075660089;Sell;12.09.2023 10:11:30;1.07182;12.09.2023 15:12:37;1.07088;4.1;4.10
GBPUSD;1075765567;Sell Stop;12.09.2023 11:44:50;1.24729;12.09.2023 14:35:08;1.24782;-2.31;-2.31
AUDJPY;1074643530;Buy;11.09.2023 13:16:29;94.432;11.09.2023 13:41:06;94.371;-1.8;-1.80
GBPUSD;1074287087;Buy Stop;11.09.2023 07:52:36;1.25171;11.09.2023 12:14:18;1.25186;0.65;0.65
GBPUSD;1074328646;Buy;11.09.2023 08:43:39;1.25165;11.09.2023 08:44:59;1.25166;0.04;0.04
GBPUSD;1071856639;Sell;07.09.2023 11:15:16;1.24805;07.09.2023 11:24:38;1.24876;-3.04;-3.04
GBPJPY;1071856508;Sell Stop;07.09.2023 11:15:11;184.072;07.09.2023 11:20:30;184.171;-2.88;-2.88
CADJPY;1070445990;Sell Stop;06.09.2023 09:15:19;107.939;06.09.2023 11:02:56;107.979;-1.14;-1.14
GBPJPY;1070415075;Sell Stop;06.09.2023 08:59:06;185.101;06.09.2023 09:15:09;185.213;-3.19;-3.19
EURJPY;1070413856;Sell Stop;06.09.2023 08:58:39;158.056;06.09.2023 09:15:03;158.169;-3.22;-3.22
USDCHF;1069404018;Buy;05.09.2023 11:50:53;0.88744;05.09.2023 13:21:07;0.88915;8.03;8.03
GBPUSD;1069144576;Sell Stop;05.09.2023 08:51:47;1.2583;05.09.2023 09:07:18;1.2593;-4.16;-4.16
USDCHF;1037786004;Buy Stop;02.08.2023 15:17:31;0.87931;02.08.2023 16:38:00;0.87828;-4.78;-4.78
AUDJPY;1037771461;Sell Stop;02.08.2023 15:08:07;93.986;02.08.2023 15:50:10;94.007;-0.6;-0.60
EURJPY;1037766333;Sell Stop;02.08.2023 15:05:27;156.918;02.08.2023 15:16:00;157.018;-2.84;-2.84
USDCAD;1037218784;Buy;02.08.2023 08:55:10;1.33017;02.08.2023 13:06:33;1.33031;0.43;0.43
AUDUSD;1037218140;Sell Stop;02.08.2023 08:54:34;0.65795;02.08.2023 09:31:52;0.65805;-0.41;-0.41
AUDUSD;1035883203;Sell;01.08.2023 08:58:03;0.66587;01.08.2023 10:31:03;0.66335;10.14;10.14
AUDJPY;1035889600;Sell Limit;01.08.2023 09:02:43;94.955;01.08.2023 10:30:28;94.661;8.29;8.29
AUDJPY;1034717601;Buy;31.07.2023 09:09:40;94.999;31.07.2023 10:23:48;95.148;4.19;4.19
CADJPY;1034717820;Buy;31.07.2023 09:09:50;107.247;31.07.2023 10:23:48;107.508;7.34;7.34
